,method,variant,prev_balance,balance,prev_memsize,memsize,https outcalls,request_sizes,response_sizes,payments [cycles],instructions count
0,advance,,2968984219162,2955394942516,53784243,58175155,8,[],"[4894, 2464, 599465, 339298, 599465, 323389, 1080989, 404498]",12794806467,568685025
1,advance,,2955394942516,2941919766103,58175155,58175155,8,[],"[4876, 2446, 493227, 339298, 493227, 202944, 277578, 599465]",12672356644,839856523
2,advance,,2941919766103,2927793403684,58175155,58175155,7,[],"[4868, 2438, 72409, 339298, 72409, 400169, 493227]",11718617738,689849672
3,advance,,2927793403684,2920065736026,58175155,58175155,6,[],"[4876, 2446, 350869, 339298, 350869, 72409]",9334214861,95929600
4,advance,,2920065736026,2906588812227,58175155,58175155,8,[],"[4880, 2446, 419678, 339298, 419678, 350869, 531794, 401143]",12682461923,568396721
5,advance,,2906588812227,2894813036861,58175155,58175155,7,[],"[4894, 2464, 323982, 339298, 323982, 419678, 223176]",10989296105,308962533
6,advance,,2894813036861,2884647796226,58175155,58175155,6,[],"[4894, 2464, 450674, 339298, 450674, 323982]",9374485228,447926471
7,advance,,2884647796226,2874530911833,58175155,58175155,6,[],"[4904, 2474, 191486, 339298, 191486, 450674]",9320570744,628743021
8,advance,,2874530911833,2862742188157,58175155,58175155,7,[],"[4880, 2464, 425562, 339298, 425562, 191486, 344569]",10996854395,484299384
9,advance,,2862742188157,2852560356807,58175155,58175155,6,[],"[4876, 2446, 439506, 339298, 439506, 425562]",9386670858,591264842
10,erc20_balance_of,bnb,2851662583189,2837223479873,55220015,55220015,9,"[313, 187, 119, 119, 119, 115, 115, 187, 115]","[212, 7713, 8066, 7712, 12788, 10749, 10749, 12788, 10749]",14438466589,12031549
11,erc20_balance_of,bnb,2837223378643,2822784272297,55220015,55220015,9,"[313, 187, 120, 120, 120, 116, 116, 188, 116]","[212, 7714, 8067, 7713, 12788, 10750, 10750, 12789, 10750]",14438469608,12031945
12,erc20_balance_of,bnb,2822784171067,2808345064877,55220015,55220015,9,"[313, 188, 120, 120, 120, 116, 116, 188, 116]","[212, 7714, 8067, 12789, 7713, 10750, 10750, 12789, 10750]",14438469452,12031793
13,erc20_balance_of,bnb,2808344958623,2793905851869,55220015,55220015,9,"[313, 188, 120, 120, 120, 116, 116, 188, 116]","[212, 7714, 7713, 8067, 12789, 10750, 10750, 12789, 10750]",14438470066,12030346
14,erc20_balance_of,bnb,2793905750639,2779466643222,55220015,55220015,9,"[313, 188, 120, 120, 120, 116, 116, 188, 116]","[212, 7714, 8067, 7713, 12789, 10750, 10750, 12789, 10750]",14438470723,12029996
15,erc20_balance_of,shiba-inu,2851404432293,2836965663337,57644847,57644847,9,"[313, 187, 119, 119, 119, 115, 115, 187, 115]","[212, 7843, 7802, 7712, 13055, 9743, 9743, 13055, 9743]",14438165110,10994187
16,erc20_balance_of,shiba-inu,2836965562107,2822526790050,57644847,57644847,9,"[313, 187, 120, 120, 120, 116, 116, 188, 116]","[212, 7803, 7713, 13055, 7844, 9744, 9744, 13056, 9744]",14438168189,10994781
17,erc20_balance_of,shiba-inu,2822526688820,2808087915763,57644847,57644847,9,"[313, 188, 120, 120, 120, 116, 116, 188, 116]","[212, 7713, 13056, 7844, 7803, 9744, 9744, 13056, 9744]",14438169162,10995484
18,erc20_balance_of,shiba-inu,2808087814533,2793649039339,57644847,57644847,9,"[313, 188, 120, 120, 120, 116, 116, 188, 116]","[212, 7844, 7803, 7713, 13056, 9744, 9744, 13056, 9744]",14438166026,10996872
19,erc20_balance_of,shiba-inu,2793648932865,2779210158998,57644847,57644847,9,"[313, 188, 120, 120, 120, 116, 116, 188, 116]","[212, 7844, 7803, 7713, 13056, 9744, 9744, 13056, 9744]",14438164726,10995975
20,erc20_balance_of,usdt-2,2851343963976,2833688969424,58693423,58693423,11,"[313, 256, 119, 119, 119, 115, 115, 187, 115, 256, 116]","[281, 7840, 7759, 7712, 19995, 22189, 22189, 13840, 22189, 19995, 22190]",17653983979,24198259
21,erc20_balance_of,usdt-2,2833688868194,2816033862418,58693423,58693423,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7760, 7713, 19996, 7841, 22190, 22190, 13841, 22190, 19996, 22190]",17653989843,24198800
22,erc20_balance_of,usdt-2,2816033761188,2798378757080,58693423,58693423,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7841, 7760, 19996, 7713, 22190, 22190, 13841, 22190, 19996, 22190]",17653993991,24182818
23,erc20_balance_of,usdt-2,2798378655850,2780723650266,58693423,58693423,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7841, 7713, 19996, 7760, 22190, 22190, 13841, 22190, 19996, 22190]",17653995034,24197813
24,erc20_balance_of,usdt-2,2780723549036,2763068552377,58693423,58693423,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7841, 7760, 7713, 19996, 22190, 22190, 13841, 22190, 19996, 22190]",17653986173,24195000
25,erc20_balance_of,usdt,2852455028771,2834800017689,54826799,54826799,11,"[313, 256, 119, 119, 119, 115, 115, 187, 115, 256, 116]","[281, 7843, 7759, 7712, 20175, 22189, 22189, 13840, 22189, 20175, 22190]",17654000645,24186317
26,erc20_balance_of,usdt,2834799911471,2817144893665,54826799,54826799,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7760, 20176, 7713, 22190, 22190, 13841, 22190, 20176, 22190]",17654005189,24257430
27,erc20_balance_of,usdt,2817144792435,2799489758048,54826799,54826799,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7760, 7713, 20176, 22190, 22190, 13841, 22190, 20176, 22190]",17654021703,24259653
28,erc20_balance_of,usdt,2799489656818,2781834619363,54826799,54826799,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7713, 7760, 20176, 22190, 22190, 13841, 22190, 20176, 22190]",17654019825,24258529
29,erc20_balance_of,usdt,2781834518133,2764179488819,54826799,54826799,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7760, 7713, 20176, 22190, 22190, 13841, 22190, 20176, 22190]",17654016673,24258751
30,erc721_owner_of,dreadfulz,2851737260254,2834080834799,56137519,56137519,11,"[313, 256, 119, 119, 119, 115, 115, 187, 115, 256, 116]","[281, 14776, 7843, 7437, 7712, 28833, 28833, 11189, 28833, 14776, 28834]",17655196842,31458838
31,erc721_owner_of,dreadfulz,2834080733569,2816424298404,56137519,56137519,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7438, 7713, 14777, 7844, 28834, 28834, 11190, 28834, 14777, 28834]",17655206675,31469631
32,erc721_owner_of,dreadfulz,2816424197174,2798767757545,56137519,56137519,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7438, 7713, 14777, 28834, 28834, 11190, 28834, 14777, 28834]",17655206038,31469107
33,erc721_owner_of,dreadfulz,2798767656315,2781111219402,56137519,56137519,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7438, 7713, 14777, 28834, 28834, 11190, 28834, 14777, 28834]",17655208413,31469578
34,erc721_owner_of,dreadfulz,2781111118172,2763454675649,56137519,56137519,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7844, 7713, 14777, 7438, 28834, 28834, 11190, 28834, 14777, 28834]",17655209030,31465848
35,erc721_owner_of,ens,2852022578126,2834368105972,55023407,55023407,11,"[313, 256, 119, 119, 119, 115, 115, 187, 115, 256, 116]","[281, 7607, 7712, 7866, 19853, 21123, 21123, 13698, 21123, 19853, 21124]",17653495326,22999515
36,erc721_owner_of,ens,2834368004742,2816713534134,55023407,55023407,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7608, 7867, 7713, 19854, 21124, 21124, 13699, 21124, 19854, 21124]",17653493831,23011079
37,erc721_owner_of,ens,2816713427898,2799058954864,55023407,55023407,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7608, 7867, 7713, 19854, 21124, 21124, 13699, 21124, 19854, 21124]",17653496285,23010560
38,erc721_owner_of,ens,2799058853634,2781404378781,55023407,55023407,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7608, 7867, 7713, 19854, 21124, 21124, 13699, 21124, 19854, 21124]",17653498044,23010462
39,erc721_owner_of,ens,2781404277551,2763749806197,55023407,55023407,11,"[313, 257, 120, 120, 120, 116, 116, 188, 116, 257, 116]","[281, 7608, 7867, 7713, 19854, 21124, 21124, 13699, 21124, 19854, 21124]",17653494574,23009690
40,erc721_owner_of,milady-2,2851501486635,2829031586110,59152175,59152175,14,"[313, 325, 119, 119, 119, 115, 115, 115, 187, 115, 257, 116, 326, 116]","[350, 7534, 7759, 7712, 20351, 22859, 22859, 4077, 11832, 22859, 16141, 22860, 20352, 22860]",22468861856,25287278
41,erc721_owner_of,milady-2,2829031484880,2806561573401,59152175,59152175,14,"[313, 326, 120, 120, 120, 116, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7760, 7713, 7535, 20352, 22860, 22860, 4078, 11833, 22860, 16141, 22860, 20352, 22860]",22468870863,25361517
42,erc721_owner_of,milady-2,2806561472171,2784091563469,59152175,59152175,14,"[313, 326, 120, 120, 120, 116, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7535, 7760, 7713, 20352, 22860, 22860, 4078, 11833, 22860, 16141, 22860, 20352, 22860]",22468868039,25363400
43,erc721_owner_of,milady-2,2784091462239,2761621553014,59152175,59152175,14,"[313, 326, 120, 120, 120, 116, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7535, 7760, 20352, 7713, 22860, 22860, 4078, 11833, 22860, 16141, 22860, 20352, 22860]",22468863212,25362557
44,erc721_owner_of,milady-2,2761621451784,2739151545727,59152175,59152175,14,"[313, 326, 120, 120, 120, 116, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7760, 7535, 20352, 7713, 22860, 22860, 4078, 11833, 22860, 16141, 22860, 20352, 22860]",22468865437,25361805
45,erc721_owner_of,milady,2851305341310,2830438941083,61970223,61970223,13,"[313, 325, 119, 119, 119, 115, 115, 187, 115, 256, 116, 326, 116]","[350, 7864, 7759, 7712, 20946, 22859, 22859, 12194, 22859, 16502, 22860, 20947, 22860]",20865362678,25067531
46,erc721_owner_of,milady,2830438839853,2809572454474,61970223,61970223,13,"[313, 326, 120, 120, 120, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7865, 7760, 7713, 20947, 22860, 22860, 12195, 22860, 16503, 22860, 20947, 22860]",20865352579,25107423
47,erc721_owner_of,milady,2809572353244,2788705945939,61970223,61970223,13,"[313, 326, 120, 120, 120, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7865, 7760, 7713, 20947, 22860, 22860, 12195, 22860, 16503, 22860, 20947, 22860]",20865374497,25107328
48,erc721_owner_of,milady,2788705844709,2767839451764,61970223,61970223,13,"[313, 326, 120, 120, 120, 116, 116, 188, 116, 257, 116, 326, 116]","[350, 7865, 7760, 7713, 20947, 22860, 22860, 12195, 22860, 16503, 22860, 20947, 22860]",20865360160,25107332
49,get_block_number,,2969262571259,2969262470029,54832819,54832819,0,[],[],0,2336
50,get_block_number,,2969262368799,2969262267569,54832819,54832819,0,[],[],0,2336
51,get_block_number,,2969262166339,2969262065109,54832819,54832819,0,[],[],0,2336
52,get_block_number,,2969261963879,2969261862649,54832819,54832819,0,[],[],0,2336
53,get_block_number,,2969261761419,2969261660189,54832819,54832819,0,[],[],0,2336
54,setup,,3091874529229,2969337851920,3118895,53647151,74,[61],"[653, 40, 3874, 54266, 57122, 4876, 2446, 416074, 324039, 416074, 61, 355319, 318123, 295236, 323791, 201360, 284652, 324917, 761679, 321847, 587517, 334299, 565524, 577465, 608505, 328940, 608166, 482832, 626207, 182697, 351584, 436746, 539964, 510944, 346087, 319650, 386205, 583643, 352356, 328323, 724340, 346067, 488976, 761514, 451715, 376236, 288139, 370743, 301723, 327111, 328913, 332793, 419407, 283747, 254628, 342135, 478434, 729505, 267833, 390266, 325421, 524654, 570660, 338671, 422619, 477160, 674028, 386252, 316030, 533198, 596647, 265223, 585168, 327337]",122519544559,547979892
55,setup,,3091874529229,2969295253798,3118895,54105903,74,[61],"[653, 40, 3874, 54266, 57122, 4858, 2428, 663259, 324039, 663259, 330808, 61, 587517, 355319, 416074, 535972, 125344, 182697, 323791, 201360, 761679, 321847, 284652, 254628, 324917, 577465, 295236, 608505, 482832, 318123, 626207, 565524, 539964, 510944, 608166, 334299, 583643, 352356, 351584, 328940, 436746, 346067, 346087, 488976, 319650, 386205, 332793, 376236, 288139, 328323, 724340, 328913, 419407, 761514, 451715, 478434, 301723, 729505, 327111, 524654, 283747, 570660, 342135, 370743, 477160, 674028, 390266, 325421, 316030, 596647, 338671, 422619, 267833, 533198]",122553254989,836669921
56,setup,,3091874529229,2969446236565,3118895,53581615,74,[61],"[653, 40, 3874, 54266, 57122, 4876, 2446, 365203, 324039, 365203, 286864, 61, 187492, 161268, 535972, 125344, 330808, 663259, 273328, 321847, 284652, 587517, 355319, 416074, 577465, 295236, 323791, 608505, 201360, 318123, 626207, 565524, 324917, 510944, 334299, 482832, 761679, 328940, 436746, 539964, 608166, 319650, 386205, 583643, 352356, 351584, 182697, 724340, 346067, 346087, 488976, 419407, 451715, 376236, 288139, 328323, 301723, 327111, 328913, 332793, 761514, 342135, 370743, 478434, 729505, 325421, 524654, 283747, 254628, 570660, 267833, 477160, 674028, 390266]",122408229188,643230446
57,setup,,3091874529229,2969531380276,3118895,51877679,74,[61],"[653, 40, 3874, 54266, 57122, 4858, 2428, 200109, 324039, 200109, 192973, 321847, 125344, 187492, 161268, 171741, 201360, 330808, 273328, 286864, 365203, 509745, 61, 284652, 587517, 535972, 663259, 295236, 323791, 608505, 761679, 565524, 324917, 577465, 334299, 318123, 626207, 355319, 416074, 436746, 539964, 510944, 482832, 386205, 352356, 351584, 328940, 608166, 346067, 346087, 488976, 319650, 583643, 332793, 376236, 288139, 328323, 724340, 328913, 419407, 761514, 451715, 254628, 478434, 301723, 729505, 327111, 524654, 283747, 570660, 342135, 370743, 390266, 325421]",122326196502,542120352
58,setup,,3091874529229,2969568210906,3118895,52664111,74,[61],"[653, 40, 3874, 54266, 57122, 4872, 2442, 196191, 324039, 196191, 159246, 61, 125344, 187492, 161268, 171741, 200109, 286864, 365203, 192973, 214803, 490414, 414374, 284652, 330808, 663259, 273328, 509745, 587517, 355319, 416074, 535972, 608505, 201360, 761679, 321847, 565524, 324917, 577465, 295236, 323791, 328940, 334299, 482832, 318123, 626207, 351584, 539964, 510944, 608166, 319650, 386205, 583643, 352356, 436746, 724340, 346067, 346087, 488976, 419407, 451715, 376236, 288139, 328323, 301723, 327111, 328913, 332793, 761514, 342135, 370743, 478434, 729505, 570660]",122278779598,886172028
59,setup,,3091874529229,2969643984755,3118895,52533039,74,[61],"[653, 40, 3874, 54266, 57122, 4868, 2438, 176166, 324039, 176166, 166458, 61, 200109, 414374, 159246, 196191, 348452, 345471, 415104, 125344, 365203, 509745, 171741, 192973, 214803, 490414, 416074, 330808, 663259, 187492, 161268, 286864, 284652, 587517, 355319, 535972, 273328, 608505, 201360, 761679, 321847, 565524, 324917, 577465, 295236, 323791, 328940, 334299, 482832, 318123, 626207, 351584, 539964, 510944, 608166, 319650, 386205, 583643, 352356, 436746, 724340, 346067, 346087, 488976, 419407, 451715, 376236, 288139, 328323, 327111, 328913, 332793, 761514, 729505]",122196275267,1104760183
